,name,tradeScale,subName,brand,datatype,size,dateQty,price
103,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,223000
104,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,223000
105,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,222000
106,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,232000
107,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,217000
108,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,227000
109,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,226000
110,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,221000
111,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,237000
112,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,239000
113,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,226000
114,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,218000
115,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,229000
116,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,220000
117,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,216000
118,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,220000
119,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,220000
120,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,228000
121,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,217000
122,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,229000
123,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,285,22/04/23,219000
124,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,250,22/04/23,245000
125,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,220000
126,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,228000
127,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,219000
128,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,220000
129,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,226000
130,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,285,22/04/23,222000
131,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,218000
132,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,220000
133,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,226000
134,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,220000
135,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,300,22/04/23,232000
136,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,305,22/04/23,231000
137,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
138,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,219000
139,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,275,22/04/23,217000
140,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,265,22/04/23,229000
141,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,228000
142,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,260,22/04/23,230000
143,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,228000
144,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,227000
145,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,255,22/04/23,233000
146,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,222000
147,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,270,22/04/23,221000
148,Nike Dunk Low Retro Black,156000,나이키 덩크 로우 레트로 블랙,Nike,trade,280,22/04/23,230000
